guest_email,hotel_id,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
ramosjames@gregory.com,HID_000,False,BASIC,28.41,12 Jul 2020,16 Jul 2020,149.48,"454 Jennifer Port
New Sandra, NY 05178",379626111119090
vscott@beltran.com,HID_000,False,BASIC,30.86,28 Jan 2020,31 Jan 2020,201.31,"43645 Clark Landing
West Williamtown, SC 77546",4026911632249
lsteele@mendoza.biz,HID_000,True,BASIC,0.0,20 Feb 2020,22 Feb 2020,118.41,"5678 Office Road
San Francisco, CA 94103",4942094262703149
martinsydney@stone.net,HID_000,False,BASIC,7.92,18 May 2020,21 May 2020,220.73,"0215 Chase Roads Suite 951
Port Joshua, MS 80335",586471481935
coreymurray@duran-martinez.com,HID_000,False,SUITE,32.68,21 Jan 2020,23 Jan 2020,327.29,"9726 Amber Station
East Keithland, ND 56091",4506717789672128364
daniel57@marsh-shaw.com,HID_000,False,BASIC,13.02,13 Sep 2020,14 Sep 2020,137.46,"7105 Lauren Cliffs Suite 835
Hartfurt, VT 96920",4495106062613062000
lhart@lozano-rogers.biz,HID_000,False,DELUXE,19.13,05 Aug 2020,06 Aug 2020,240.96,"19711 Alvarado Route
East Lori, AR 26670",2242995672400517
alan08@jordan.info,HID_000,False,BASIC,27.45,04 Jul 2020,06 Jul 2020,153.66,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",30277478142829
michael29@bauer.org,HID_000,True,DELUXE,0.0,13 Jul 2020,15 Jul 2020,201.3,"41459 Sarah Ranch
Floresview, ND 01693",4440004935964264
daltonward@ingram.com,HID_000,False,BASIC,9.51,06 Sep 2020,07 Sep 2020,198.11,"74489 Simmons Trail
Valdezstad, GA 17568",4799286980280913
gtorres@mckinney-baker.com,HID_000,False,BASIC,,20 May 2020,22 May 2020,187.76,"3826 Rowe Mission Suite 167
Jenniferhaven, CO 17091",30145483229883
jameswelch@levine.biz,HID_000,False,BASIC,,11 May 2020,15 May 2020,157.93,"77 Massachusetts Ave
Cambridge, MA 02139",30255137954032
grantwendy@bird.com,HID_000,False,BASIC,15.64,26 Jun 2020,28 Jun 2020,139.35,"0215 Chase Roads Suite 951
Port Joshua, MS 80335",4821889109737689
jonathan12@white-payne.com,HID_000,True,SUITE,0.0,19 Aug 2020,21 Aug 2020,268.16,"0784 Todd Manors
Jonesmouth, WY 42593",30240040028009
wmorgan@mahoney-pope.info,HID_000,True,DELUXE,0.0,08 Apr 2020,10 Apr 2020,257.55,"0784 Todd Manors
Jonesmouth, WY 42593",2349865661751281
nmiller@jordan.com,HID_000,False,BASIC,16.23,09 Jun 2020,10 Jun 2020,150.06,"5678 Office Road
San Francisco, CA 94103",3556805154473395
ashleycollins@conner.com,HID_000,False,BASIC,6.68,01 Jan 2021,03 Jan 2021,130.42,"1234 Corporate Drive
Boston, MA 02116",4153708178750118
david07@ramirez-stanton.com,HID_000,False,DELUXE,22.27,04 Feb 2020,07 Feb 2020,228.83,"4322 Wilson Squares
Matthewchester, HI 85123",180017311857920
fbowman@weaver.com,HID_000,False,BASIC,38.21,13 Sep 2020,16 Sep 2020,136.27,"958 Beverly Bypass
South Ronald, GA 46368",4016023549459142452
hbryan@george.com,HID_000,True,BASIC,0.0,09 May 2020,11 May 2020,163.57,"329 Deborah Via
Nataliehaven, MO 87399",4847818679193
markthomas@johnson.com,HID_000,False,BASIC,23.61,16 Aug 2020,18 Aug 2020,143.04,"1234 Corporate Drive
Boston, MA 02116",2294477661503079
brownmartha@armstrong.com,HID_000,True,BASIC,0.0,13 Oct 2020,16 Oct 2020,292.5,"958 Beverly Bypass
South Ronald, GA 46368",180064426198428
kimberlyrandolph@mueller-pratt.org,HID_000,False,SUITE,25.01,05 Jun 2020,07 Jun 2020,351.23,"4152 Alyssa Dale Suite 100
Port Joshua, UT 45333",3556723727485418
abrewer@martin.com,HID_000,False,SUITE,27.51,10 Mar 2020,12 Mar 2020,335.26,"54238 Mcgee Crescent
Briantown, WY 72770",2669631248945594
ehall@smith-stewart.com,HID_000,True,SUITE,0.0,25 Jun 2020,27 Jun 2020,262.99,"PSC 7921, Box 4282
APO AA 49483",3599849235456515
suttonmelissa@sanchez.com,HID_000,False,BASIC,28.02,12 Oct 2020,14 Oct 2020,178.1,"4811 Mariah Center
Port Timothyville, SD 37840",4462406877117731
kelly01@young-aguilar.com,HID_000,False,BASIC,32.25,28 Dec 2020,30 Dec 2020,140.79,"5895 Rebecca Cliff
East Elizabethhaven, NY 44803",349391012165075
erin19@johnson.com,HID_000,False,BASIC,28.18,09 Jan 2020,11 Jan 2020,133.81,"1234 Corporate Drive
Boston, MA 02116",4461033775093730
christopherschaefer@lee.org,HID_000,True,BASIC,0.0,16 Jan 2020,19 Jan 2020,135.45,"54238 Mcgee Crescent
Briantown, WY 72770",180095407605742
wfreeman@webb.com,HID_000,False,BASIC,26.14,20 Jul 2020,22 Jul 2020,145.34,"2506 Christopher Lock
Lake Paul, IL 17894",38651500078643
christine70@lane-klein.com,HID_000,False,BASIC,11.62,14 Jun 2020,17 Jun 2020,190.96,"0215 Chase Roads Suite 951
Port Joshua, MS 80335",38416070843739
haley68@clark.com,HID_000,False,BASIC,,22 Dec 2020,24 Dec 2020,143.66,"941 Samantha Port
North Ashley, DC 89806",2273379952126518
fordterri@jackson-chambers.org,HID_000,False,SUITE,31.68,05 Jan 2020,08 Jan 2020,313.65,"6535 Andre Mountain Suite 741
Melaniestad, VA 73781",372770926213149
tbutler@hill.com,HID_000,False,BASIC,10.28,24 Aug 2020,27 Aug 2020,169.23,"285 Singh Via Suite 786
Lake Ashley, AK 61126",676148456368
raymondmoreno@hayes.biz,HID_000,False,BASIC,22.87,05 Jun 2020,06 Jun 2020,128.07,"1234 Corporate Drive
Boston, MA 02116",38440331525190
cooperann@ayala.com,HID_000,True,BASIC,0.0,16 May 2020,17 May 2020,193.57,"3826 Rowe Mission Suite 167
Jenniferhaven, CO 17091",213137436802238
itorres@tyler.biz,HID_000,True,BASIC,0.0,27 Sep 2020,29 Sep 2020,224.13,"77 Massachusetts Ave
Cambridge, MA 02139",213173894511136
angela59@mathis.biz,HID_000,False,BASIC,28.04,10 Mar 2020,12 Mar 2020,138.1,"1234 Corporate Drive
Boston, MA 02116",3552531732620281
jhester@bennett.com,HID_000,False,DELUXE,28.45,16 Oct 2020,18 Oct 2020,225.02,"274 Brandon Square Apt. 679
North Michaelborough, AK 69146",213100856267969
marshallcarmen@hernandez.com,HID_000,True,SUITE,0.0,30 Jan 2020,02 Feb 2020,254.97,"19711 Alvarado Route
East Lori, AR 26670",372933357404500
billy92@alvarez-mcclure.com,HID_000,False,BASIC,32.9,06 Oct 2020,07 Oct 2020,173.07,"1234 Corporate Drive
Boston, MA 02116",180095059590051
tcox@griffith.com,HID_000,False,BASIC,23.72,07 Feb 2020,09 Feb 2020,141.41,"285 Singh Via Suite 786
Lake Ashley, AK 61126",587204144410
matthew31@vaughn.net,HID_000,False,BASIC,,22 Oct 2020,24 Oct 2020,136.04,"1234 Corporate Drive
Boston, MA 02116",30024532098062
vpatton@ramirez-jimenez.com,HID_000,False,BASIC,20.5,08 May 2020,12 May 2020,140.75,"954 Taylor Burgs
Port Steveton, OR 26243",38440114662640
shannonknight@joyce-moore.biz,HID_000,False,BASIC,25.64,20 May 2020,21 May 2020,287.15,"5678 Office Road
San Francisco, CA 94103",180015045859238
robert51@gordon-fisher.org,HID_000,False,BASIC,28.73,03 May 2020,08 May 2020,153.42,"77 Massachusetts Ave
Cambridge, MA 02139",4549468928629
patricialewis@bailey.biz,HID_000,False,BASIC,9.1,17 Dec 2020,18 Dec 2020,167.34,"PSC 3637, Box 6528
APO AP 00600",4666313723276
uburton@bean.com,HID_000,False,BASIC,30.12,30 Dec 2020,01 Jan 2021,168.68,"77 Massachusetts Ave
Cambridge, MA 02139",4985421083146672550
camachodawn@thomas-thompson.info,HID_000,False,BASIC,11.22,04 Feb 2020,06 Feb 2020,180.61,"904 Hines Rue
Port Gregory, MN 66236",4997172877158950
cball@wright.com,HID_000,False,BASIC,24.93,30 Jul 2020,31 Jul 2020,183.05,"583 Lewis Burgs
Port Jessetown, WI 21902",4411850363237942055
pamela57@sanders-hughes.com,HID_000,False,BASIC,27.41,27 Nov 2020,30 Nov 2020,134.87,"39373 Burgess Trace Suite 797
West Dianafort, MT 06944",213115290031599
fuentesdennis@lopez.com,HID_000,False,BASIC,15.81,22 Dec 2020,23 Dec 2020,141.2,"4152 Alyssa Dale Suite 100
Port Joshua, UT 45333",4687341156413122
williamsmatthew@vaughn.com,HID_000,False,SUITE,11.88,25 Mar 2020,29 Mar 2020,321.89,"977 Valentine Corner
North Davidmouth, VT 07522",4241673115783198
jessica72@jones.com,HID_000,False,BASIC,7.95,07 Apr 2020,09 Apr 2020,134.86,"65278 Jessica Park Apt. 006
Chaveztown, ME 95080",372955946988099
joshua26@trevino.org,HID_000,True,BASIC,0.0,15 Feb 2020,17 Feb 2020,162.9,"1234 Corporate Drive
Boston, MA 02116",4491757306201
colemanbradley@flores.com,HID_000,False,BASIC,14.6,15 Jan 2020,18 Jan 2020,137.16,"3826 Rowe Mission Suite 167
Jenniferhaven, CO 17091",3579007539433433
christopher46@phillips.info,HID_000,False,BASIC,1.62,18 Dec 2020,19 Dec 2020,143.56,"5678 Office Road
San Francisco, CA 94103",3580413909844349
blancharddenise@harris.org,HID_000,False,BASIC,18.49,22 Aug 2020,23 Aug 2020,135.05,"USNS Walsh
FPO AA 74186",6011949938610104
katrinajohns@villarreal-stout.net,HID_000,False,BASIC,19.12,16 Dec 2020,19 Dec 2020,136.1,"77 Massachusetts Ave
Cambridge, MA 02139",180032330097168
ilambert@edwards.net,HID_000,False,BASIC,18.73,04 Nov 2020,06 Nov 2020,169.18,"115 Robert Underpass
North Sandra, NH 53920",341355228072233
tracey24@hartman.org,HID_000,False,BASIC,8.63,04 Dec 2020,06 Dec 2020,137.87,"3654 Michelle Neck
Ryanport, IA 84925",6011643216990045
wgriffith@li.net,HID_000,False,BASIC,10.45,04 Jun 2020,08 Jun 2020,137.4,"PSC 6601, Box 6562
APO AE 40511",6511354105782676
williamsheather@fox-mcclain.org,HID_000,True,BASIC,0.0,08 May 2020,11 May 2020,132.9,"0292 Cynthia Rue
Brooketon, MN 34383",6564242690472975
piercedeborah@ali-myers.com,HID_000,False,DELUXE,35.24,17 Nov 2020,19 Nov 2020,251.88,"791 Tony Knolls
Lake Saraburgh, KY 85096",36569835461700
qgibson@santos.info,HID_001,False,BASIC,20.51,28 Mar 2020,29 Mar 2020,89.71,"77 Massachusetts Ave
Cambridge, MA 02139",4777448237417922
philiphardy@russell.com,HID_001,True,SUITE,0.0,22 Mar 2020,25 Mar 2020,191.64,"PSC 6939, Box 0471
APO AE 36341",4502023892727360
markwest@hernandez-foster.com,HID_001,False,BASIC,25.0,03 Jul 2020,05 Jul 2020,99.97,"0706 James Port Apt. 932
Hallchester, WV 96191",5367615474160752
nhicks@monroe-anderson.com,HID_001,False,BASIC,10.04,14 Oct 2020,16 Oct 2020,83.17,"764 Dalton Rue
Port Daniel, PA 18668",30323554525022
williamsdestiny@carpenter.com,HID_001,False,DELUXE,,22 Apr 2020,23 Apr 2020,132.92,"9636 Frederick Courts
West Kylemouth, KS 23072",373118575724256
gallowayamy@joseph.org,HID_001,False,DELUXE,15.82,03 Feb 2020,04 Feb 2020,181.31,"10593 Trevor Spurs Suite 511
Caitlinland, NE 16278",347282225600887
brooksnancy@griffin.net,HID_001,False,BASIC,4.15,14 Jun 2020,17 Jun 2020,137.0,"57920 Robert Knoll Suite 240
Amymouth, OR 65950",4658869601725
scottnicholas@kelly.net,HID_001,False,BASIC,,24 Nov 2020,26 Nov 2020,79.42,"77 Massachusetts Ave
Cambridge, MA 02139",213155799000869
jonathan18@bright.info,HID_001,False,BASIC,8.53,04 Jun 2020,08 Jun 2020,178.47,"5678 Office Road
San Francisco, CA 94103",30419965636059
fergusonraymond@gibson-mcneil.com,HID_001,False,BASIC,26.19,24 Aug 2020,26 Aug 2020,88.07,"57920 Robert Knoll Suite 240
Amymouth, OR 65950",2252018343618313
wagnerbrenda@morales.org,HID_001,False,BASIC,19.12,12 Aug 2020,16 Aug 2020,354.02,"66004 Martinez Divide Apt. 794
Lake Stevenburgh, NV 70195",4659352284524296
kristy68@murphy.com,HID_001,False,BASIC,8.43,17 Apr 2020,19 Apr 2020,111.66,"432 Hernandez Isle Apt. 900
Wesleytown, CT 13431",4422171371217911
danielle09@rice-lynch.com,HID_001,False,BASIC,23.51,03 May 2020,04 May 2020,89.36,"Unit 5408 Box 2975
DPO AE 95511",30199225878101
snydermegan@baldwin.org,HID_001,False,BASIC,27.23,07 Mar 2020,11 Mar 2020,144.25,"77 Massachusetts Ave
Cambridge, MA 02139",4694771390142882
fboyd@rodriguez.net,HID_001,False,BASIC,20.46,24 Dec 2020,26 Dec 2020,97.45,"5678 Office Road
San Francisco, CA 94103",30448774690379
christopher26@mitchell.com,HID_001,False,BASIC,21.6,12 Jan 2020,14 Jan 2020,97.85,"43997 Stephens Rapids Suite 190
Nelsonchester, MN 96006",4670080275619966
brianna07@dillon.info,HID_001,False,BASIC,7.91,21 Sep 2020,,96.67,"5678 Office Road
San Francisco, CA 94103",4786405354913132
zjones@smith.com,HID_001,False,BASIC,36.92,12 Jan 2020,14 Jan 2020,92.2,"55951 Williams Crossing
Johnshire, LA 44008",374550291674762
jkennedy@fernandez.com,HID_001,False,BASIC,8.87,04 Jan 2020,05 Jan 2020,112.87,"USCGC Ramos
FPO AE 75050",3592983036357106
kristinasmith@joseph.com,HID_001,True,DELUXE,0.0,31 Aug 2020,03 Sep 2020,150.18,"77 Massachusetts Ave
Cambridge, MA 02139",4336901449410022
bmcguire@pope.net,HID_001,False,BASIC,13.49,11 Apr 2020,12 Apr 2020,103.64,"694 Melinda Mall Suite 148
Angelafort, GA 02343",30080684591569
shawnjackson@mosley.info,HID_001,True,DELUXE,0.0,23 Nov 2020,25 Nov 2020,228.05,"USCGC Ramos
FPO AE 75050",36451959275663
henrymiller@wilson.com,HID_001,False,BASIC,25.42,03 Jan 2020,04 Jan 2020,80.17,"5678 Office Road
San Francisco, CA 94103",3538272281629485
vblevins@willis.info,HID_001,True,BASIC,0.0,01 Jan 2021,05 Jan 2021,72.63,"0196 Joanne Mews Apt. 453
Port Gailhaven, IA 95812",5185022100960301
dgreer@fisher.org,HID_001,False,BASIC,8.94,31 Oct 2020,,120.82,"43997 Stephens Rapids Suite 190
Nelsonchester, MN 96006",30574235553268
owensscott@myers-butler.com,HID_002,False,SUITE,24.41,29 Nov 2020,03 Dec 2020,233.91,"483 Julie Corner Apt. 727
Millerport, IN 05082",4721609258699477
wangedward@myers.com,HID_002,False,BASIC,16.69,01 Nov 2020,02 Nov 2020,62.6,"5436 Jennifer Roads
Brownville, MT 64791",4887862583537
robertsonphillip@garcia.com,HID_002,False,SUITE,44.31,12 Feb 2020,14 Feb 2020,145.76,"483 Julie Corner Apt. 727
Millerport, IN 05082",36346465663156
renee74@cruz.com,HID_002,False,BASIC,17.48,17 Jul 2020,19 Jul 2020,80.19,"36642 Mccall Groves
Nunezport, NY 92410",4396446225726370
ffrancis@cross.com,HID_002,False,BASIC,,07 May 2020,10 May 2020,59.13,"5678 Office Road
San Francisco, CA 94103",3556464505869610
camposbrian@pierce-weber.com,HID_002,False,BASIC,14.08,15 Jun 2020,18 Jun 2020,70.13,"77 Massachusetts Ave
Cambridge, MA 02139",4909911082323785
jamesstrong@maynard.biz,HID_002,False,SUITE,8.07,14 Jul 2020,16 Jul 2020,145.07,"2753 Shannon Roads
Ericksonton, WV 49892",6588056587844217
brian20@morse.org,HID_002,False,BASIC,17.95,02 Sep 2020,04 Sep 2020,53.47,"406 Kristine Drive Apt. 847
West Maryberg, DE 75746",3539624694322158
ortizlance@mendoza.com,HID_002,False,BASIC,3.35,02 Nov 2020,04 Nov 2020,105.57,"36642 Mccall Groves
Nunezport, NY 92410",4345023134240811153
danielstewart@scott.com,HID_002,False,BASIC,13.0,26 Nov 2020,27 Nov 2020,86.62,"36642 Mccall Groves
Nunezport, NY 92410",4328821750414545267
knightbrian@nguyen.com,HID_002,True,SUITE,0.0,25 Jan 2020,26 Jan 2020,110.75,"4710 Jenkins Parkways
East Briannamouth, MS 74321",4921129913905927243
john87@carrillo.com,HID_002,False,BASIC,4.89,28 Oct 2020,29 Oct 2020,66.92,"4710 Jenkins Parkways
East Briannamouth, MS 74321",3543129835276960
meghan44@wilson.com,HID_002,False,DELUXE,26.45,23 Sep 2020,25 Sep 2020,120.79,"1267 Smith Common Suite 020
Anthonyborough, CT 31983",2267164488468701
susan51@craig.biz,HID_002,False,SUITE,11.28,21 Feb 2020,24 Feb 2020,140.47,"1267 Smith Common Suite 020
Anthonyborough, CT 31983",4715935252703282596
danielgreen@thomas.com,HID_002,False,BASIC,15.77,31 May 2020,03 Jun 2020,65.76,"6986 Goodman Camp Suite 414
Bennettstad, ID 25272",30258408904835
thompsonbeth@anderson-savage.com,HID_003,False,BASIC,16.88,03 Feb 2020,05 Feb 2020,112.0,"77 Massachusetts Ave
Cambridge, MA 02139",6527318112458754
michael02@figueroa-lawrence.com,HID_003,False,DELUXE,,15 Jun 2020,19 Jun 2020,217.32,"567 Lee Mills Suite 056
New Colin, UT 61008",675925372673
christopher69@turner-guerrero.info,HID_003,False,BASIC,22.18,31 Dec 2020,01 Jan 2021,92.87,"567 Lee Mills Suite 056
New Colin, UT 61008",340615231241716
ballsharon@hunter.com,HID_003,False,DELUXE,11.01,06 Jul 2020,08 Jul 2020,162.52,"1234 Corporate Drive
Boston, MA 02116",213110767053440
hrussell@maldonado.com,HID_003,False,BASIC,31.27,12 Apr 2020,,92.02,"1234 Corporate Drive
Boston, MA 02116",676368887011
randallsampson@brown-nichols.net,HID_003,False,BASIC,4.86,13 Sep 2020,14 Sep 2020,313.59,"5678 Office Road
San Francisco, CA 94103",3569854859127703
dmiller@castro.info,HID_003,False,BASIC,46.31,22 May 2020,25 May 2020,203.05,"86563 Timothy Brook
North Terrifort, OH 29395",630470396379
barnettdavid@brown.com,HID_003,True,DELUXE,0.0,21 Apr 2020,26 Apr 2020,308.1,"5678 Office Road
San Francisco, CA 94103",630487336384
jaclyn64@smith-cox.info,HID_003,False,BASIC,26.02,22 Mar 2020,24 Mar 2020,134.47,"77 Massachusetts Ave
Cambridge, MA 02139",3516811154628177
melissamcmillan@peters.com,HID_003,False,BASIC,16.64,12 Dec 2020,15 Dec 2020,143.33,"Unit 4149 Box 7585
DPO AE 24272",4652200223696674
jeannehenderson@roy-hawkins.info,HID_003,False,BASIC,32.38,15 Aug 2020,16 Aug 2020,96.15,"1234 Corporate Drive
Boston, MA 02116",4744112099026719217
victoria35@nguyen-cameron.com,HID_003,False,BASIC,20.76,29 Mar 2020,31 Mar 2020,226.51,"7384 Bradley Summit Suite 347
Ellisstad, VA 75567",4817560351149313
dixonmichael@taylor.org,HID_003,False,BASIC,18.45,05 Dec 2020,09 Dec 2020,96.53,"227 Diaz Turnpike Suite 465
East Justin, PA 82425",342523967245869
erica17@savage.com,HID_003,False,BASIC,23.55,17 Jul 2020,19 Jul 2020,100.34,"77 Massachusetts Ave
Cambridge, MA 02139",4868108974345690
william41@carroll-nunez.net,HID_003,False,DELUXE,38.13,07 Sep 2020,09 Sep 2020,171.26,"8915 Morris Drive
West Jessica, ID 92464",2289650212884860
tmiller@graves.net,HID_003,False,BASIC,6.44,19 Mar 2020,21 Mar 2020,99.1,"2569 Mitchell Inlet
Townsendstad, FL 63610",577250947352
mark51@patterson.com,HID_003,True,DELUXE,0.0,21 May 2020,,173.44,"Unit 1074 Box 4160
DPO AP 70402",3522823232036861
lopezaaron@murphy.com,HID_003,False,BASIC,15.36,20 May 2020,22 May 2020,105.95,"5894 Lauren Road Apt. 527
Nancystad, DC 08681",373683267505149
wendy46@martinez.com,HID_003,True,DELUXE,0.0,14 Oct 2020,16 Oct 2020,144.81,"8267 Shannon Cliff Suite 984
Port Susanbury, IN 09179",630466644428
susanrhodes@dunn-blair.org,HID_003,False,BASIC,28.25,02 Aug 2020,05 Aug 2020,106.3,"8915 Morris Drive
West Jessica, ID 92464",342443259088226
flemingjenna@dorsey.com,HID_003,False,BASIC,8.24,19 Jun 2020,20 Jun 2020,167.24,"618 Marc Course
East Lindsey, IA 87109",30292545165695
joyce27@miles.com,HID_003,False,BASIC,18.19,02 Sep 2020,03 Sep 2020,100.95,"8915 Morris Drive
West Jessica, ID 92464",2280032920947033
zhiggins@carr.com,HID_003,False,BASIC,25.34,23 Jun 2020,26 Jun 2020,106.87,"USNS West
FPO AE 95786",676203077661
richardblackwell@foley.com,HID_003,False,BASIC,28.57,07 Jun 2020,,120.69,"3344 Renee Junction Suite 440
Contrerasburgh, SC 62239",213181175104752
josephdaniel@hunt.com,HID_003,False,BASIC,29.43,11 Mar 2020,13 Mar 2020,93.87,"88280 Evans Road Apt. 511
Heatherport, DE 09017",6530719286099776
marcuswalker@morgan.com,HID_003,True,BASIC,0.0,07 Jun 2020,10 Jun 2020,84.38,"9089 Adrian Flat Suite 666
East Lisa, DE 76889",213109973085642
stephaniebrown@hayes.com,HID_003,False,BASIC,11.66,26 Aug 2020,27 Aug 2020,124.31,"6433 Anne Drive
Melindaland, ME 90986",180038873379269
barrettdavid@key.com,HID_003,False,SUITE,18.16,02 Jun 2020,04 Jun 2020,289.47,"1234 Corporate Drive
Boston, MA 02116",4187085362540
kent04@scott.com,HID_003,False,SUITE,12.44,08 Feb 2020,09 Feb 2020,248.61,"02052 Lee Views Suite 314
West Denise, AZ 86474",4122571277584954
